Order_ID,Customer,Product,Category,Quantity,Price,Order_Date
1001,Ajay,Laptop,Electronics,1,65000,2026-01-10
1002,Rahul,Mouse,Accessories,2,500,2026-01-11
1003,Sneha,Keyboard,Accessories,1,1500,2026-01-12
1004,Ajay,Monitor,Electronics,1,18000,2026-01-13
1005,Rahul,Laptop,Electronics,1,65000,2026-01-15
1006,Priya,Headphones,Accessories,2,2500,2026-01-16
1007,Amit,Keyboard,Accessories,1,1500,2026-01-18
1008,Sneha,Monitor,Electronics,1,18000,2026-01-19
1009,Ajay,Mouse,Accessories,3,500,2026-01-20
1010,Priya,Laptop,Electronics,1,65000,2026-01-22
1011,Rohit,Tablet,Electronics,2,25000,2026-01-23
1012,Kiran,Speaker,Accessories,4,3000,2026-01-24
1013,Meena,Laptop,Electronics,1,65000,2026-01-25
1014,Rakesh,Keyboard,Accessories,2,1500,2026-01-26
1015,Pooja,Monitor,Electronics,1,18000,2026-01-27
1016,Ajay,Tablet,Electronics,1,25000,2026-01-28
1017,Rahul,Speaker,Accessories,2,3000,2026-01-29
1018,Sneha,Mouse,Accessories,5,500,2026-01-30
1019,Amit,Laptop,Electronics,1,65000,2026-02-01
1020,Priya,Keyboard,Accessories,3,1500,2026-02-02
1021,Rohit,Monitor,Electronics,2,18000,2026-02-03
1022,Kiran,Headphones,Accessories,1,2500,2026-02-04
1023,Meena,Mouse,Accessories,4,500,2026-02-05
1024,Rakesh,Laptop,Electronics,1,65000,2026-02-06
1025,Pooja,Tablet,Electronics,1,25000,2026-02-07
1026,Ajay,Speaker,Accessories,2,3000,2026-02-08
1027,Rahul,Headphones,Accessories,1,2500,2026-02-09
1028,Sneha,Laptop,Electronics,1,65000,2026-02-10
1029,Amit,Monitor,Electronics,1,18000,2026-02-11
1030,Priya,Mouse,Accessories,2,500,2026-02-12
